Planetary Mass (M_Earth),Planetary Mass (kg),Rayleigh Number,log10_Ra,above_Ra_crit,above_Ra_robust
3.3582914572864317,2.005571658291457e+25,570279813.3966773,8.756087998824112,True,True
3.458542713567839,2.0654417085427136e+25,599698326.0911881,8.777932836614376,True,True
3.558793969849246,2.1253117587939698e+25,629728614.219639,8.799153427644375,True,True
3.659045226130653,2.1851818090452264e+25,660365628.3226514,8.819784460383788,True,True
3.75929648241206,2.245051859296482e+25,691604499.2329168,8.839857809913731,True,True
3.859547738693467,2.3049219095477384e+25,723440526.9535772,8.859402834173052,True,True
3.959798994974874,2.364791959798995e+25,755869170.4965438,8.878446632209737,True,True
4.060050251256281,2.424662010050251e+25,788886038.5754606,8.897014270139092,True,True
4.160301507537688,2.4845320603015074e+25,822486881.0619121,8.91512897953647,True,True
4.260552763819096,2.544402110552764e+25,856667581.1252307,8.932812332203962,True,True
4.3608040201005025,2.6042721608040202e+25,891424147.9862616,8.950084394608957,True,True
4.461055276381909,2.6641422110552764e+25,926752710.2240127,8.966963864767544,True,True
4.561306532663316,2.7240122613065326e+25,962649509.581404,8.98346819391424,True,True
4.661557788944723,2.783882311557789e+25,999110895.2226698,8.999613694943076,True,True
4.761809045226131,2.8437523618090455e+25,1036133318.4003948,9.01541563930934,True,True
4.862060301507538,2.9036224120603017e+25,1073713327.4948869,9.030888343834789,True,True
4.9623115577889445,2.963492462311558e+25,1111847563.3926935,9.046045248653028,True,True
5.062562814070351,3.023362512562814e+25,1150532755.17464,9.060898987358511,True,True
5.162814070351758,3.0832325628140703e+25,1189765716.0868871,9.075461450276622,True,True
5.263065326633166,3.143102613065327e+25,1229543339.7712712,9.089743841648772,True,True
5.363316582914573,3.202972663316583e+25,1269862596.7335753,9.103756731421532,True,True
5.46356783919598,3.2628427135678393e+25,1310720531.0305178,9.117510102239505,True,True
5.5638190954773865,3.3227127638190955e+25,1352114257.158125,9.131013392165285,True,True
5.664070351758793,3.3825828140703517e+25,1394040957.1258035,9.144275533584393,True,True
5.764321608040201,3.4424528643216083e+25,1436497877.7019393,9.157304988696906,True,True
5.864572864321608,3.5023229145728645e+25,1479482327.8181121,9.17010978194889,True,True
5.964824120603015,3.5621929648241207e+25,1522991676.1202407,9.182697529714948,True,True
6.065075376884422,3.622063015075377e+25,1567023348.6559896,9.195075467506824,True,True
