M_planet (M_Earth),M_planet (kg),Pressure (bar),Total Delta-V (km/s)
5.812463e-01,3.471203e+24,3.856620e+00,1.082167e+01
5.812463e-01,3.471203e+24,4.520354e+00,1.087433e+01
5.812463e-01,3.471203e+24,5.298317e+00,1.093510e+01
5.812463e-01,3.471203e+24,6.210169e+00,1.100502e+01
5.812463e-01,3.471203e+24,7.278954e+00,1.108515e+01
5.812463e-01,3.471203e+24,8.531679e+00,1.117656e+01
5.812463e-01,3.471203e+24,1.000000e+01,1.128021e+01
6.266937e-01,3.742615e+24,1.000000e-01,1.078810e+01
6.266937e-01,3.742615e+24,1.172102e-01,1.078950e+01
6.266937e-01,3.742615e+24,1.373824e-01,1.079114e+01
6.266937e-01,3.742615e+24,1.610262e-01,1.079306e+01
6.266937e-01,3.742615e+24,1.887392e-01,1.079531e+01
6.266937e-01,3.742615e+24,2.212216e-01,1.079794e+01
6.266937e-01,3.742615e+24,2.592944e-01,1.080103e+01
6.266937e-01,3.742615e+24,3.039195e-01,1.080464e+01
6.266937e-01,3.742615e+24,3.562248e-01,1.080888e+01
6.266937e-01,3.742615e+24,4.175319e-01,1.081384e+01
6.266937e-01,3.742615e+24,4.893901e-01,1.081964e+01
6.266937e-01,3.742615e+24,5.736153e-01,1.082643e+01
6.266937e-01,3.742615e+24,6.723358e-01,1.083437e+01
6.266937e-01,3.742615e+24,7.880463e-01,1.084366e+01
6.266937e-01,3.742615e+24,9.236709e-01,1.085453e+01
6.266937e-01,3.742615e+24,1.000000e+00,1.086063e+01
6.266937e-01,3.742615e+24,1.082637e+00,1.086722e+01
6.266937e-01,3.742615e+24,1.268961e+00,1.088205e+01
6.266937e-01,3.742615e+24,1.487352e+00,1.089936e+01
6.266937e-01,3.742615e+24,1.743329e+00,1.091956e+01
6.266937e-01,3.742615e+24,2.043360e+00,1.094309e+01
6.266937e-01,3.742615e+24,2.395027e+00,1.097048e+01
6.266937e-01,3.742615e+24,2.807216e+00,1.100234e+01
6.266937e-01,3.742615e+24,3.290345e+00,1.103932e+01
6.266937e-01,3.742615e+24,3.856620e+00,1.108218e+01
6.266937e-01,3.742615e+24,4.520354e+00,1.113174e+01
6.266937e-01,3.742615e+24,5.298317e+00,1.118890e+01
6.266937e-01,3.742615e+24,6.210169e+00,1.125462e+01
6.266937e-01,3.742615e+24,7.278954e+00,1.132988e+01
6.266937e-01,3.742615e+24,8.531679e+00,1.141563e+01
6.266937e-01,3.742615e+24,1.000000e+01,1.151274e+01
6.756945e-01,4.035248e+24,1.000000e-01,1.107394e+01
6.756945e-01,4.035248e+24,1.172102e-01,1.107526e+01
6.756945e-01,4.035248e+24,1.373824e-01,1.107681e+01
6.756945e-01,4.035248e+24,1.610262e-01,1.107862e+01
6.756945e-01,4.035248e+24,1.887392e-01,1.108074e+01
6.756945e-01,4.035248e+24,2.212216e-01,1.108323e+01
6.756945e-01,4.035248e+24,2.592944e-01,1.108614e+01
6.756945e-01,4.035248e+24,3.039195e-01,1.108954e+01
6.756945e-01,4.035248e+24,3.562248e-01,1.109354e+01
6.756945e-01,4.035248e+24,4.175319e-01,1.109821e+01
6.756945e-01,4.035248e+24,4.893901e-01,1.110368e+01
6.756945e-01,4.035248e+24,5.736153e-01,1.111008e+01
6.756945e-01,4.035248e+24,6.723358e-01,1.111756e+01
6.756945e-01,4.035248e+24,7.880463e-01,1.112632e+01
6.756945e-01,4.035248e+24,9.236709e-01,1.113656e+01
6.756945e-01,4.035248e+24,1.000000e+00,1.114230e+01
6.756945e-01,4.035248e+24,1.082637e+00,1.114852e+01
6.756945e-01,4.035248e+24,1.268961e+00,1.116249e+01
6.756945e-01,4.035248e+24,1.487352e+00,1.117879e+01
6.756945e-01,4.035248e+24,1.743329e+00,1.119780e+01
6.756945e-01,4.035248e+24,2.043360e+00,1.121996e+01
6.756945e-01,4.035248e+24,2.395027e+00,1.124574e+01
6.756945e-01,4.035248e+24,2.807216e+00,1.127571e+01
6.756945e-01,4.035248e+24,3.290345e+00,1.131050e+01
6.756945e-01,4.035248e+24,3.856620e+00,1.135079e+01
6.756945e-01,4.035248e+24,4.520354e+00,1.139736e+01
6.756945e-01,4.035248e+24,5.298317e+00,1.145103e+01
6.756945e-01,4.035248e+24,6.210169e+00,1.151270e+01
6.756945e-01,4.035248e+24,7.278954e+00,1.158324e+01
6.756945e-01,4.035248e+24,8.531679e+00,1.166353e+01
6.756945e-01,4.035248e+24,1.000000e+01,1.175433e+01
7.285268e-01,4.350762e+24,1.000000e-01,1.136754e+01
7.285268e-01,4.350762e+24,1.172102e-01,1.136878e+01
7.285268e-01,4.350762e+24,1.373824e-01,1.137023e+01
7.285268e-01,4.350762e+24,1.610262e-01,1.137194e+01
7.285268e-01,4.350762e+24,1.887392e-01,1.137393e+01
7.285268e-01,4.350762e+24,2.212216e-01,1.137627e+01
7.285268e-01,4.350762e+24,2.592944e-01,1.137901e+01
7.285268e-01,4.350762e+24,3.039195e-01,1.138222e+01
7.285268e-01,4.350762e+24,3.562248e-01,1.138598e+01
7.285268e-01,4.350762e+24,4.175319e-01,1.139037e+01
7.285268e-01,4.350762e+24,4.893901e-01,1.139552e+01
7.285268e-01,4.350762e+24,5.736153e-01,1.140154e+01
7.285268e-01,4.350762e+24,6.723358e-01,1.140858e+01
7.285268e-01,4.350762e+24,7.880463e-01,1.141682e+01
7.285268e-01,4.350762e+24,9.236709e-01,1.142645e+01
7.285268e-01,4.350762e+24,1.000000e+00,1.143186e+01
7.285268e-01,4.350762e+24,1.082637e+00,1.143770e+01
7.285268e-01,4.350762e+24,1.268961e+00,1.145084e+01
7.285268e-01,4.350762e+24,1.487352e+00,1.146617e+01
7.285268e-01,4.350762e+24,1.743329e+00,1.148404e+01
7.285268e-01,4.350762e+24,2.043360e+00,1.150486e+01
7.285268e-01,4.350762e+24,2.395027e+00,1.152908e+01
7.285268e-01,4.350762e+24,2.807216e+00,1.155723e+01
7.285268e-01,4.350762e+24,3.290345e+00,1.158989e+01
7.285268e-01,4.350762e+24,3.856620e+00,1.162770e+01
7.285268e-01,4.350762e+24,4.520354e+00,1.167138e+01
7.285268e-01,4.350762e+24,5.298317e+00,1.172168e+01
7.285268e-01,4.350762e+24,6.210169e+00,1.177943e+01
7.285268e-01,4.350762e+24,7.278954e+00,1.184542e+01
7.285268e-01,4.350762e+24,8.531679e+00,1.192044e+01
7.285268e-01,4.350762e+24,1.000000e+01,1.204105e+01
7.854899e-01,4.690946e+24,1.000000e-01,1.166909e+01
7.854899e-01,4.690946e+24,1.172102e-01,1.167025e+01
7.854899e-01,4.690946e+24,1.373824e-01,1.167162e+01
7.854899e-01,4.690946e+24,1.610262e-01,1.167322e+01
7.854899e-01,4.690946e+24,1.887392e-01,1.167510e+01
7.854899e-01,4.690946e+24,2.212216e-01,1.167730e+01
