M_planet (M_Earth),M_planet (kg),Pressure (bar),Feasible,Launch Mass (kg),Num Stages,Mission Reliability
5.812463e-01,3.471203e+24,9.236709e-01,1,1.993569e+04,2,0.940900
5.812463e-01,3.471203e+24,1.000000e+00,1,1.997944e+04,2,0.940900
5.812463e-01,3.471203e+24,1.082637e+00,1,2.002686e+04,2,0.940900
5.812463e-01,3.471203e+24,1.268961e+00,1,2.013399e+04,2,0.940900
5.812463e-01,3.471203e+24,1.487352e+00,1,2.025990e+04,2,0.940900
5.812463e-01,3.471203e+24,1.743329e+00,1,2.040797e+04,2,0.940900
5.812463e-01,3.471203e+24,2.043360e+00,1,2.058216e+04,2,0.940900
5.812463e-01,3.471203e+24,2.395027e+00,1,2.078719e+04,2,0.940900
5.812463e-01,3.471203e+24,2.807216e+00,1,2.102868e+04,2,0.940900
5.812463e-01,3.471203e+24,3.290345e+00,1,2.131328e+04,2,0.940900
5.812463e-01,3.471203e+24,3.856620e+00,1,2.164890e+04,2,0.940900
5.812463e-01,3.471203e+24,4.520354e+00,1,2.204497e+04,2,0.940900
5.812463e-01,3.471203e+24,5.298317e+00,1,2.251265e+04,2,0.940900
5.812463e-01,3.471203e+24,6.210169e+00,1,2.306518e+04,2,0.940900
5.812463e-01,3.471203e+24,7.278954e+00,1,2.371813e+04,2,0.940900
5.812463e-01,3.471203e+24,8.531679e+00,1,2.448965e+04,2,0.940900
5.812463e-01,3.471203e+24,1.000000e+01,1,2.540055e+04,2,0.940900
6.266937e-01,3.742615e+24,1.000000e-01,1,2.140071e+04,2,0.940900
6.266937e-01,3.742615e+24,1.172102e-01,1,2.141099e+04,2,0.940900
6.266937e-01,3.742615e+24,1.373824e-01,1,2.142303e+04,2,0.940900
6.266937e-01,3.742615e+24,1.610262e-01,1,2.143716e+04,2,0.940900
6.266937e-01,3.742615e+24,1.887392e-01,1,2.145372e+04,2,0.940900
6.266937e-01,3.742615e+24,2.212216e-01,1,2.147314e+04,2,0.940900
6.266937e-01,3.742615e+24,2.592944e-01,1,2.149591e+04,2,0.940900
6.266937e-01,3.742615e+24,3.039195e-01,1,2.152261e+04,2,0.940900
6.266937e-01,3.742615e+24,3.562248e-01,1,2.155393e+04,2,0.940900
6.266937e-01,3.742615e+24,4.175319e-01,1,2.159067e+04,2,0.940900
6.266937e-01,3.742615e+24,4.893901e-01,1,2.163376e+04,2,0.940900
6.266937e-01,3.742615e+24,5.736153e-01,1,2.168432e+04,2,0.940900
6.266937e-01,3.742615e+24,6.723358e-01,1,2.174365e+04,2,0.940900
6.266937e-01,3.742615e+24,7.880463e-01,1,2.181329e+04,2,0.940900
6.266937e-01,3.742615e+24,9.236709e-01,1,2.189503e+04,2,0.940900
6.266937e-01,3.742615e+24,1.000000e+00,1,2.194110e+04,2,0.940900
6.266937e-01,3.742615e+24,1.082637e+00,1,2.199102e+04,2,0.940900
6.266937e-01,3.742615e+24,1.268961e+00,1,2.210376e+04,2,0.940900
6.266937e-01,3.742615e+24,1.487352e+00,1,2.223622e+04,2,0.940900
6.266937e-01,3.742615e+24,1.743329e+00,1,2.239190e+04,2,0.940900
6.266937e-01,3.742615e+24,2.043360e+00,1,2.257495e+04,2,0.940900
6.266937e-01,3.742615e+24,2.395027e+00,1,2.279027e+04,2,0.940900
6.266937e-01,3.742615e+24,2.807216e+00,1,2.304367e+04,2,0.940900
6.266937e-01,3.742615e+24,3.290345e+00,1,2.334204e+04,2,0.940900
6.266937e-01,3.742615e+24,3.856620e+00,1,2.369351e+04,2,0.940900
6.266937e-01,3.742615e+24,4.520354e+00,1,2.410774e+04,2,0.940900
6.266937e-01,3.742615e+24,5.298317e+00,1,2.459613e+04,2,0.940900
6.266937e-01,3.742615e+24,6.210169e+00,1,2.517207e+04,2,0.940900
6.266937e-01,3.742615e+24,7.278954e+00,1,2.585122e+04,2,0.940900
6.266937e-01,3.742615e+24,8.531679e+00,1,2.665164e+04,2,0.940900
6.266937e-01,3.742615e+24,1.000000e+01,1,2.759374e+04,2,0.940900
6.756945e-01,4.035248e+24,1.000000e-01,1,2.362551e+04,2,0.940900
6.756945e-01,4.035248e+24,1.172102e-01,1,2.363639e+04,2,0.940900
6.756945e-01,4.035248e+24,1.373824e-01,1,2.364914e+04,2,0.940900
6.756945e-01,4.035248e+24,1.610262e-01,1,2.366410e+04,2,0.940900
6.756945e-01,4.035248e+24,1.887392e-01,1,2.368163e+04,2,0.940900
6.756945e-01,4.035248e+24,2.212216e-01,1,2.370218e+04,2,0.940900
6.756945e-01,4.035248e+24,2.592944e-01,1,2.372629e+04,2,0.940900
6.756945e-01,4.035248e+24,3.039195e-01,1,2.375455e+04,2,0.940900
6.756945e-01,4.035248e+24,3.562248e-01,1,2.378769e+04,2,0.940900
6.756945e-01,4.035248e+24,4.175319e-01,1,2.382656e+04,2,0.940900
6.756945e-01,4.035248e+24,4.893901e-01,1,2.387216e+04,2,0.940900
6.756945e-01,4.035248e+24,5.736153e-01,1,2.392564e+04,2,0.940900
6.756945e-01,4.035248e+24,6.723358e-01,1,2.398839e+04,2,0.940900
6.756945e-01,4.035248e+24,7.880463e-01,1,2.406203e+04,2,0.940900
6.756945e-01,4.035248e+24,9.236709e-01,1,2.414845e+04,2,0.940900
6.756945e-01,4.035248e+24,1.000000e+00,1,2.419713e+04,2,0.940900
6.756945e-01,4.035248e+24,1.082637e+00,1,2.424989e+04,2,0.940900
6.756945e-01,4.035248e+24,1.268961e+00,1,2.436899e+04,2,0.940900
6.756945e-01,4.035248e+24,1.487352e+00,1,2.450888e+04,2,0.940900
6.756945e-01,4.035248e+24,1.743329e+00,1,2.467320e+04,2,0.940900
6.756945e-01,4.035248e+24,2.043360e+00,1,2.486631e+04,2,0.940900
6.756945e-01,4.035248e+24,2.395027e+00,1,2.509331e+04,2,0.940900
6.756945e-01,4.035248e+24,2.807216e+00,1,2.536025e+04,2,0.940900
6.756945e-01,4.035248e+24,3.290345e+00,1,2.567426e+04,2,0.940900
6.756945e-01,4.035248e+24,3.856620e+00,1,2.604376e+04,2,0.940900
