M_planet (M_Earth),M_planet (kg),Pressure (bar),Launch Mass (tons)
5.812463e-01,3.471203e+24,3.856620e+00,2.164890e+01
5.812463e-01,3.471203e+24,4.520354e+00,2.204497e+01
5.812463e-01,3.471203e+24,5.298317e+00,2.251265e+01
5.812463e-01,3.471203e+24,6.210169e+00,2.306518e+01
5.812463e-01,3.471203e+24,7.278954e+00,2.371813e+01
5.812463e-01,3.471203e+24,8.531679e+00,2.448965e+01
5.812463e-01,3.471203e+24,1.000000e+01,2.540055e+01
6.266937e-01,3.742615e+24,1.000000e-01,2.140071e+01
6.266937e-01,3.742615e+24,1.172102e-01,2.141099e+01
6.266937e-01,3.742615e+24,1.373824e-01,2.142303e+01
6.266937e-01,3.742615e+24,1.610262e-01,2.143716e+01
6.266937e-01,3.742615e+24,1.887392e-01,2.145372e+01
6.266937e-01,3.742615e+24,2.212216e-01,2.147314e+01
6.266937e-01,3.742615e+24,2.592944e-01,2.149591e+01
6.266937e-01,3.742615e+24,3.039195e-01,2.152261e+01
6.266937e-01,3.742615e+24,3.562248e-01,2.155393e+01
6.266937e-01,3.742615e+24,4.175319e-01,2.159067e+01
6.266937e-01,3.742615e+24,4.893901e-01,2.163376e+01
6.266937e-01,3.742615e+24,5.736153e-01,2.168432e+01
6.266937e-01,3.742615e+24,6.723358e-01,2.174365e+01
6.266937e-01,3.742615e+24,7.880463e-01,2.181329e+01
6.266937e-01,3.742615e+24,9.236709e-01,2.189503e+01
6.266937e-01,3.742615e+24,1.000000e+00,2.194110e+01
6.266937e-01,3.742615e+24,1.082637e+00,2.199102e+01
6.266937e-01,3.742615e+24,1.268961e+00,2.210376e+01
6.266937e-01,3.742615e+24,1.487352e+00,2.223622e+01
6.266937e-01,3.742615e+24,1.743329e+00,2.239190e+01
6.266937e-01,3.742615e+24,2.043360e+00,2.257495e+01
6.266937e-01,3.742615e+24,2.395027e+00,2.279027e+01
6.266937e-01,3.742615e+24,2.807216e+00,2.304367e+01
6.266937e-01,3.742615e+24,3.290345e+00,2.334204e+01
6.266937e-01,3.742615e+24,3.856620e+00,2.369351e+01
6.266937e-01,3.742615e+24,4.520354e+00,2.410774e+01
6.266937e-01,3.742615e+24,5.298317e+00,2.459613e+01
6.266937e-01,3.742615e+24,6.210169e+00,2.517207e+01
6.266937e-01,3.742615e+24,7.278954e+00,2.585122e+01
6.266937e-01,3.742615e+24,8.531679e+00,2.665164e+01
6.266937e-01,3.742615e+24,1.000000e+01,2.759374e+01
6.756945e-01,4.035248e+24,1.000000e-01,2.362551e+01
6.756945e-01,4.035248e+24,1.172102e-01,2.363639e+01
6.756945e-01,4.035248e+24,1.373824e-01,2.364914e+01
6.756945e-01,4.035248e+24,1.610262e-01,2.366410e+01
6.756945e-01,4.035248e+24,1.887392e-01,2.368163e+01
6.756945e-01,4.035248e+24,2.212216e-01,2.370218e+01
6.756945e-01,4.035248e+24,2.592944e-01,2.372629e+01
6.756945e-01,4.035248e+24,3.039195e-01,2.375455e+01
6.756945e-01,4.035248e+24,3.562248e-01,2.378769e+01
6.756945e-01,4.035248e+24,4.175319e-01,2.382656e+01
6.756945e-01,4.035248e+24,4.893901e-01,2.387216e+01
6.756945e-01,4.035248e+24,5.736153e-01,2.392564e+01
6.756945e-01,4.035248e+24,6.723358e-01,2.398839e+01
6.756945e-01,4.035248e+24,7.880463e-01,2.406203e+01
6.756945e-01,4.035248e+24,9.236709e-01,2.414845e+01
6.756945e-01,4.035248e+24,1.000000e+00,2.419713e+01
6.756945e-01,4.035248e+24,1.082637e+00,2.424989e+01
6.756945e-01,4.035248e+24,1.268961e+00,2.436899e+01
6.756945e-01,4.035248e+24,1.487352e+00,2.450888e+01
6.756945e-01,4.035248e+24,1.743329e+00,2.467320e+01
6.756945e-01,4.035248e+24,2.043360e+00,2.486631e+01
6.756945e-01,4.035248e+24,2.395027e+00,2.509331e+01
6.756945e-01,4.035248e+24,2.807216e+00,2.536025e+01
6.756945e-01,4.035248e+24,3.290345e+00,2.567426e+01
6.756945e-01,4.035248e+24,3.856620e+00,2.604376e+01
6.756945e-01,4.035248e+24,4.520354e+00,2.647867e+01
6.756945e-01,4.035248e+24,5.298317e+00,2.699066e+01
6.756945e-01,4.035248e+24,6.210169e+00,2.759334e+01
6.756945e-01,4.035248e+24,7.278954e+00,2.830247e+01
6.756945e-01,4.035248e+24,8.531679e+00,2.913606e+01
6.756945e-01,4.035248e+24,1.000000e+01,3.011413e+01
7.285268e-01,4.350762e+24,1.000000e-01,2.619920e+01
7.285268e-01,4.350762e+24,1.172102e-01,2.621077e+01
7.285268e-01,4.350762e+24,1.373824e-01,2.622433e+01
7.285268e-01,4.350762e+24,1.610262e-01,2.624022e+01
7.285268e-01,4.350762e+24,1.887392e-01,2.625886e+01
7.285268e-01,4.350762e+24,2.212216e-01,2.628071e+01
7.285268e-01,4.350762e+24,2.592944e-01,2.630633e+01
7.285268e-01,4.350762e+24,3.039195e-01,2.633636e+01
7.285268e-01,4.350762e+24,3.562248e-01,2.637159e+01
7.285268e-01,4.350762e+24,4.175319e-01,2.641289e+01
7.285268e-01,4.350762e+24,4.893901e-01,2.646133e+01
7.285268e-01,4.350762e+24,5.736153e-01,2.651815e+01
7.285268e-01,4.350762e+24,6.723358e-01,2.658480e+01
7.285268e-01,4.350762e+24,7.880463e-01,2.666299e+01
7.285268e-01,4.350762e+24,9.236709e-01,2.675473e+01
7.285268e-01,4.350762e+24,1.000000e+00,2.680641e+01
7.285268e-01,4.350762e+24,1.082637e+00,2.686239e+01
7.285268e-01,4.350762e+24,1.268961e+00,2.698875e+01
7.285268e-01,4.350762e+24,1.487352e+00,2.713710e+01
7.285268e-01,4.350762e+24,1.743329e+00,2.731128e+01
7.285268e-01,4.350762e+24,2.043360e+00,2.751586e+01
7.285268e-01,4.350762e+24,2.395027e+00,2.775618e+01
7.285268e-01,4.350762e+24,2.807216e+00,2.803855e+01
7.285268e-01,4.350762e+24,3.290345e+00,2.837042e+01
7.285268e-01,4.350762e+24,3.856620e+00,2.876051e+01
7.285268e-01,4.350762e+24,4.520354e+00,2.921906e+01
7.285268e-01,4.350762e+24,5.298317e+00,2.975803e+01
7.285268e-01,4.350762e+24,6.210169e+00,3.039132e+01
7.285268e-01,4.350762e+24,7.278954e+00,3.113484e+01
7.285268e-01,4.350762e+24,8.531679e+00,3.200655e+01
7.285268e-01,4.350762e+24,1.000000e+01,3.346984e+01
7.854899e-01,4.690946e+24,1.000000e-01,2.919481e+01
7.854899e-01,4.690946e+24,1.172102e-01,2.920717e+01
7.854899e-01,4.690946e+24,1.373824e-01,2.922165e+01
7.854899e-01,4.690946e+24,1.610262e-01,2.923863e+01
7.854899e-01,4.690946e+24,1.887392e-01,2.925853e+01
7.854899e-01,4.690946e+24,2.212216e-01,2.928186e+01
7.854899e-01,4.690946e+24,2.592944e-01,2.930922e+01
7.854899e-01,4.690946e+24,3.039195e-01,2.934129e+01
7.854899e-01,4.690946e+24,3.562248e-01,2.937889e+01
7.854899e-01,4.690946e+24,4.175319e-01,2.942299e+01
7.854899e-01,4.690946e+24,4.893901e-01,2.947469e+01
7.854899e-01,4.690946e+24,5.736153e-01,2.953533e+01
7.854899e-01,4.690946e+24,6.723358e-01,2.960644e+01
7.854899e-01,4.690946e+24,7.880463e-01,2.968985e+01
7.854899e-01,4.690946e+24,9.236709e-01,2.978769e+01
7.854899e-01,4.690946e+24,1.000000e+00,2.984279e+01
7.854899e-01,4.690946e+24,1.082637e+00,2.990247e+01
7.854899e-01,4.690946e+24,1.268961e+00,3.003715e+01
7.854899e-01,4.690946e+24,1.487352e+00,3.019519e+01
7.854899e-01,4.690946e+24,1.743329e+00,3.038068e+01
7.854899e-01,4.690946e+24,2.043360e+00,3.059839e+01
7.854899e-01,4.690946e+24,2.395027e+00,3.085399e+01
7.854899e-01,4.690946e+24,2.807216e+00,3.115407e+01
7.854899e-01,4.690946e+24,3.290345e+00,3.150641e+01
7.854899e-01,4.690946e+24,3.856620e+00,3.192012e+01
7.854899e-01,4.690946e+24,4.520354e+00,3.240579e+01
7.854899e-01,4.690946e+24,5.298317e+00,3.297576e+01
7.854899e-01,4.690946e+24,6.210169e+00,3.364422e+01
7.854899e-01,4.690946e+24,7.278954e+00,3.442729e+01
7.854899e-01,4.690946e+24,8.531679e+00,3.570147e+01
7.854899e-01,4.690946e+24,1.000000e+01,3.693431e+01
8.469070e-01,5.057729e+24,1.000000e-01,3.270494e+01
8.469070e-01,5.057729e+24,1.172102e-01,3.271820e+01
8.469070e-01,5.057729e+24,1.373824e-01,3.273375e+01
8.469070e-01,5.057729e+24,1.610262e-01,3.275197e+01
8.469070e-01,5.057729e+24,1.887392e-01,3.277333e+01
8.469070e-01,5.057729e+24,2.212216e-01,3.279838e+01
8.469070e-01,5.057729e+24,2.592944e-01,3.282773e+01
8.469070e-01,5.057729e+24,3.039195e-01,3.286215e+01
8.469070e-01,5.057729e+24,3.562248e-01,3.290250e+01
8.469070e-01,5.057729e+24,4.175319e-01,3.294981e+01
8.469070e-01,5.057729e+24,4.893901e-01,3.300527e+01
8.469070e-01,5.057729e+24,5.736153e-01,3.307031e+01
8.469070e-01,5.057729e+24,6.723358e-01,3.314657e+01
8.469070e-01,5.057729e+24,7.880463e-01,3.323600e+01
8.469070e-01,5.057729e+24,9.236709e-01,3.334087e+01
8.469070e-01,5.057729e+24,1.000000e+00,3.339992e+01
8.469070e-01,5.057729e+24,1.082637e+00,3.346387e+01
8.469070e-01,5.057729e+24,1.268961e+00,3.360814e+01
8.469070e-01,5.057729e+24,1.487352e+00,3.377736e+01
8.469070e-01,5.057729e+24,1.743329e+00,3.397587e+01
8.469070e-01,5.057729e+24,2.043360e+00,3.420874e+01
8.469070e-01,5.057729e+24,2.395027e+00,3.448194e+01
8.469070e-01,5.057729e+24,2.807216e+00,3.480244e+01
8.469070e-01,5.057729e+24,3.290345e+00,3.517841e+01
8.469070e-01,5.057729e+24,3.856620e+00,3.561935e+01
8.469070e-01,5.057729e+24,4.520354e+00,3.613631e+01
8.469070e-01,5.057729e+24,5.298317e+00,3.674204e+01
8.469070e-01,5.057729e+24,6.210169e+00,3.745108e+01
8.469070e-01,5.057729e+24,7.278954e+00,3.827981e+01
8.469070e-01,5.057729e+24,8.531679e+00,3.967081e+01
8.469070e-01,5.057729e+24,1.000000e+01,4.098714e+01
9.131262e-01,5.453190e+24,1.000000e-01,3.684823e+01
9.131262e-01,5.453190e+24,1.172102e-01,3.686255e+01
9.131262e-01,5.453190e+24,1.373824e-01,3.687933e+01
9.131262e-01,5.453190e+24,1.610262e-01,3.689900e+01
9.131262e-01,5.453190e+24,1.887392e-01,3.692205e+01
9.131262e-01,5.453190e+24,2.212216e-01,3.694908e+01
9.131262e-01,5.453190e+24,2.592944e-01,3.698076e+01
9.131262e-01,5.453190e+24,3.039195e-01,3.701790e+01
9.131262e-01,5.453190e+24,3.562248e-01,3.706144e+01
9.131262e-01,5.453190e+24,4.175319e-01,3.711248e+01
9.131262e-01,5.453190e+24,4.893901e-01,3.717231e+01
9.131262e-01,5.453190e+24,5.736153e-01,3.724246e+01
9.131262e-01,5.453190e+24,6.723358e-01,3.732470e+01
9.131262e-01,5.453190e+24,7.880463e-01,3.742111e+01
9.131262e-01,5.453190e+24,9.236709e-01,3.753415e+01
9.131262e-01,5.453190e+24,1.000000e+00,3.759778e+01
9.131262e-01,5.453190e+24,1.082637e+00,3.766669e+01
9.131262e-01,5.453190e+24,1.268961e+00,3.782208e+01
9.131262e-01,5.453190e+24,1.487352e+00,3.800428e+01
9.131262e-01,5.453190e+24,1.743329e+00,3.821791e+01
9.131262e-01,5.453190e+24,2.043360e+00,3.846838e+01
9.131262e-01,5.453190e+24,2.395027e+00,3.876201e+01
9.131262e-01,5.453190e+24,2.807216e+00,3.910621e+01
9.131262e-01,5.453190e+24,3.290345e+00,3.950958e+01
9.131262e-01,5.453190e+24,3.856620e+00,3.998213e+01
9.131262e-01,5.453190e+24,4.520354e+00,4.053539e+01
9.131262e-01,5.453190e+24,5.298317e+00,4.118260e+01
9.131262e-01,5.453190e+24,6.210169e+00,4.193874e+01
9.131262e-01,5.453190e+24,7.278954e+00,4.316980e+01
9.131262e-01,5.453190e+24,8.531679e+00,4.434888e+01
9.131262e-01,5.453190e+24,1.000000e+01,4.576276e+01
9.845231e-01,5.879572e+24,1.000000e-01,4.177855e+01
9.845231e-01,5.879572e+24,1.172102e-01,4.179410e+01
9.845231e-01,5.879572e+24,1.373824e-01,4.181232e+01
9.845231e-01,5.879572e+24,1.610262e-01,4.183369e+01
9.845231e-01,5.879572e+24,1.887392e-01,4.185873e+01
9.845231e-01,5.879572e+24,2.212216e-01,4.188808e+01
9.845231e-01,5.879572e+24,2.592944e-01,4.192248e+01
9.845231e-01,5.879572e+24,3.039195e-01,4.196281e+01
9.845231e-01,5.879572e+24,3.562248e-01,4.201008e+01
9.845231e-01,5.879572e+24,4.175319e-01,4.206549e+01
9.845231e-01,5.879572e+24,4.893901e-01,4.213043e+01
9.845231e-01,5.879572e+24,5.736153e-01,4.220655e+01
9.845231e-01,5.879572e+24,6.723358e-01,4.229578e+01
9.845231e-01,5.879572e+24,7.880463e-01,4.240037e+01
9.845231e-01,5.879572e+24,9.236709e-01,4.252297e+01
9.845231e-01,5.879572e+24,1.000000e+00,4.259196e+01
9.845231e-01,5.879572e+24,1.082637e+00,4.266666e+01
9.845231e-01,5.879572e+24,1.268961e+00,4.283507e+01
9.845231e-01,5.879572e+24,1.487352e+00,4.303246e+01
9.845231e-01,5.879572e+24,1.743329e+00,4.326377e+01
9.845231e-01,5.879572e+24,2.043360e+00,4.353481e+01
9.845231e-01,5.879572e+24,2.395027e+00,4.385234e+01
9.845231e-01,5.879572e+24,2.807216e+00,4.422424e+01
9.845231e-01,5.879572e+24,3.290345e+00,4.465965e+01
9.845231e-01,5.879572e+24,3.856620e+00,4.516912e+01
9.845231e-01,5.879572e+24,4.520354e+00,4.576479e+01
9.845231e-01,5.879572e+24,5.298317e+00,4.646044e+01
9.845231e-01,5.879572e+24,6.210169e+00,4.727153e+01
9.845231e-01,5.879572e+24,7.278954e+00,4.863123e+01
9.845231e-01,5.879572e+24,8.531679e+00,4.990672e+01
9.845231e-01,5.879572e+24,1.000000e+01,5.143538e+01
1.061503e+00,6.339293e+24,1.000000e-01,4.769809e+01
1.061503e+00,6.339293e+24,1.172102e-01,4.771509e+01
1.061503e+00,6.339293e+24,1.373824e-01,4.773503e+01
1.061503e+00,6.339293e+24,1.610262e-01,4.775839e+01
1.061503e+00,6.339293e+24,1.887392e-01,4.778577e+01
1.061503e+00,6.339293e+24,2.212216e-01,4.781787e+01
