Planetary Mass (M_Earth),Planetary Mass (kg),Magnetic Reynolds Number,log10_Rm,above_Rm_crit,above_Rm_robust
0.05,2.9860000000000002e+23,136.6655693646799,2.135659115018773,True,True
0.15025125628140704,8.973005025125629e+23,269.4581956921559,2.430491397394834,True,True
0.2505025125628141,1.4960010050251257e+24,369.3700511506565,2.567461679552276,True,True
0.3507537688442211,2.0947015075376885e+24,454.6331190416084,2.6576610699571512,True,True
0.4510050251256281,2.6934020100502513e+24,530.9144359956136,2.725024534322131,True,True
0.5512562814070352,3.2921025125628144e+24,600.9104594522684,2.7788097634122573,True,True
0.6515075376884423,3.8908030150753775e+24,666.1667001736243,2.823582919720674,True,True
0.7517587939698492,4.48950351758794e+24,727.6710002572635,2.86193506740571,True,True
0.8520100502512563,5.088204020100503e+24,786.1022026520468,2.8954790131670634,True,True
0.9522613065326634,5.686904522613066e+24,841.9516636619543,2.925287159424285,True,True
1.0525125628140704,6.285605025125629e+24,895.58922367167,2.9521088592168567,True,True
1.1527638190954774,6.884305527638192e+24,947.3019043613557,2.976488410368419,True,True
1.2530150753768845,7.483006030150755e+24,997.317999151789,2.998833657064714,True,True
1.3532663316582916,8.081706532663318e+24,1045.8227966180727,3.0194581042535624,True,True
1.4535175879396984,8.68040703517588e+24,1092.969246230281,3.038607942022537,True,True
1.5537688442211055,9.279107537688443e+24,1138.8854290278673,3.05648003659562,True,True
1.6540201005025126,9.877808040201005e+24,1183.6799341254427,3.073234285465797,True,True
1.7542713567839197,1.047650854271357e+25,1227.445819007847,3.089002330917009,True,True
1.8545226130653267,1.107520904522613e+25,1270.2635859786262,3.1038938485608774,True,True
1.9547738693467336,1.1673909547738693e+25,1312.203458948915,3.1180011782166224,True,True
2.0550251256281404,1.2272610050251255e+25,1353.3271523410351,3.131402795327745,True,True
2.1552763819095477,1.287131055276382e+25,1393.6892645528342,3.1441659547281686,True,True
2.2555276381909546,1.3470011055276381e+25,1433.3383893544963,3.1563487328121695,True,True
2.3557788944723614,1.4068711557788943e+25,1472.318012263231,3.168001625255852,True,True
2.4560301507537687,1.4667412060301507e+25,1510.667240839353,3.179168811537881,True,True
2.5562814070351756,1.526611256281407e+25,1548.4214051702645,3.1898891663172066,True,True
2.656532663316583,1.5864813065326633e+25,1585.612555782374,3.200197076145622,True,True
2.7567839195979897,1.6463513567839195e+25,1622.2698796961038,3.210123104815332,True,True
2.8570351758793966,1.7062214070351757e+25,1658.4200505569074,3.219694539805525,True,True
2.957286432160804,1.7660914572864322e+25,1694.0875252256265,3.2289358444483836,True,True
3.0575376884422107,1.8259615075376884e+25,1729.2947965458588,3.237869034685076,True,True
3.157788944723618,1.8858315577889448e+25,1764.0626099825383,3.246513995017677,True,True
3.258040201005025,1.945701608040201e+25,1798.410150274426,3.25488874506542,True,True
3.3582914572864317,2.005571658291457e+25,1832.3552030425913,3.263009665711979,True,True
3.458542713567839,2.0654417085427136e+25,1865.9142953596963,3.2708916919789925,True,True
3.558793969849246,2.1253117587939698e+25,1899.1028185473479,3.2785484783330916,True,True
3.659045226130653,2.1851818090452264e+25,1931.9351358839442,3.2859925410232775,True,True
3.75929648241206,2.245051859296482e+25,1964.4246774383946,3.2932353811753092,True,True
3.859547738693467,2.3049219095477384e+25,1996.5840238696364,3.3002875916829124,True,True
3.959798994974874,2.364791959798995e+25,2028.424980728083,3.307158950389716,True,True
4.060050251256281,2.424662010050251e+25,2059.9586445479426,3.313858501619197,True,True
4.160301507537688,2.4845320603015074e+25,2091.19546181703,3.320394627758485,True,True
4.260552763819096,2.544402110552764e+25,2122.1452817441823,3.326775112317457,True,True
4.3608040201005025,2.6042721608040202e+25,2152.8174036067885,3.3330071956530607,True,True
4.461055276381909,2.6641422110552764e+25,2183.2206193465104,3.339097624359405,True,True
4.561306532663316,2.7240122613065326e+25,2213.363251985829,3.345052695168475,True,True
4.661557788944723,2.783882311557789e+25,2243.2531903579993,3.350878294077711,True,True
4.761809045226131,2.8437523618090455e+25,2272.8979205756254,3.3565799313139597,True,True
4.862060301507538,2.9036224120603017e+25,2302.3045546061257,3.3621627726544285,True,True
4.9623115577889445,2.963492462311558e+25,2331.479856274073,3.367631667550834,True,True
5.062562814070351,3.023362512562814e+25,2360.4302649692504,3.3729911744404726,True,True
5.162814070351758,3.0832325628140703e+25,2389.16191730415,3.378245583575253,True,True
5.263065326633166,3.143102613065327e+25,2417.6806669345438,3.3833989376551457,True,True
5.363316582914573,3.202972663316583e+25,2445.9921027308283,3.3884550505146738,True,True
5.46356783919598,3.2628427135678393e+25,2474.1015654655844,3.3934175240788202,True,True
5.5638190954773865,3.3227127638190955e+25,2502.0141631633987,3.3982897637771856,True,True
5.664070351758793,3.3825828140703517e+25,2529.734785242328,3.4030749925816246,True,True
5.764321608040201,3.4424528643216083e+25,2557.2681155617474,3.4077762638122797,True,True
5.864572864321608,3.5023229145728645e+25,2584.6186444786777,3.412396472839457,True,True
5.964824120603015,3.5621929648241207e+25,2611.7906800035407,3.4169383677936436,True,True
6.065075376884422,3.622063015075377e+25,2638.788358136583,3.4214045593828755,True,True
6.1653266331658285,3.681933065326633e+25,2665.615652457669,3.4257975299052785,True,True
6.265577889447236,3.7418031155778897e+25,2692.276383034583,3.43011964153467,True,True
6.365829145728643,3.801673165829146e+25,2718.7742247084007,3.4343731439484833,True,True
6.46608040201005,3.861543216080402e+25,2745.112714808569,3.4385601813596627,True,True
6.566331658291457,3.921413266331658e+25,2771.295260345169,3.442682799007576,True,True
6.666582914572864,3.9812833165829145e+25,2797.325144721215,3.4467429491571178,True,True
6.766834170854271,4.041153366834171e+25,2823.20553400373,3.4507424966500593,True,True
6.867085427135678,4.101023417085427e+25,2848.939482788697,3.4546832240481566,True,True
6.967336683417085,4.1608934673366836e+25,2874.5299396917253,3.458566836403525,True,True
7.067587939698492,4.220763517587939e+25,2899.9797524933347,3.462394965688227,True,True
7.167839195979899,4.280633567839196e+25,2925.2916729651774,3.4661691749118835,True,True
7.268090452261307,4.340503618090453e+25,2950.4683614011337,3.469890961953302,True,True
7.368341708542713,4.400373668341708e+25,2975.512390875184,3.4735617631296365,True,True
7.46859296482412,4.460243718592965e+25,3000.42625124597,3.477182956524364,True,True
7.568844221105527,4.520113768844221e+25,3025.2123529263404,3.480755865093366,True,True
7.669095477386934,4.579983819095477e+25,3049.873030434578,3.4842817595666444,True,True
7.769346733668342,4.639853869346734e+25,3074.4105457426476,3.4877618611615957,True,True
